DOI,Article Title,Source Title,Author Keywords,Keywords Plus,Abstract
10.1002/adfm.202307369,A Metal-Organic Framework Incorporating Eight Different Size Rare-Earth Metal Elements: Toward Multifunctionality A La Carte,ADVANCED FUNCTIONAL MATERIALS,carboranes; lanthanide molecular magnets; multivariate metal-organic frameworks; rare-earth materials,RAY CIRCULAR-DICHROISM; COORDINATION POLYMERS; O-CARBORANE; 3D; WATER; PHARMACOPHORES; COMPLEXES; CHEMISTRY; CRYSTAL; SERIES,"Multi-metallic multivariate (MTV) rare earth (RE) metal-organic frameworks (MOFs) are of interest for the development of multifunctional materials, however examples with more than three RE cations are rare and obstructed by compositional segregation during synthesis. Herein, this work demonstrates the synthesis of a multi-metallic MTV RE MOF incorporating two, four, six, or eight different RE ions with different sizes and in nearly equimolar amounts and no compositional segregation. The MOFs are formed by a combination of RE cations (La, Ce, Eu, Gd, Tb, Dy, Y, and Yb) and a 1,7-di(4-carboxyphenyl)-1,7-dicarba-closo-dodecaborane (mCB-L) linker. The steric bulkiness and acidity of mCB-L is crucial for the incorporation of different size RE ions into the MOF structure. Demonstration of the incorporation of all RE cations is performed via compositional and structural characterization. The more complex MTV MOF, including all eight RE ions (mCB-8RE), are also characterized using optical, thermal, and magnetic techniques. Element-selective X-ray absorption spectroscopy and X-ray Magnetic Circular Dichroism measurements allow us to characterize spectroscopically each of the eight RE ions and determine their magnetic moments. This work paves the way for the investigation of MTV MOFs with the possibility to combine RE ions a la carte for diverse applications."
10.1002/adfm.202410751,Cradle-to-Gate Environmental Impact Assessment of Commercially Available Metal-Organic Frameworks Manufacturing,ADVANCED FUNCTIONAL MATERIALS,commercially available MOFs; environmental assessment; environmental impacts; life cycle assessment; metal-organic frameworks,PRODUCT DESIGN; TOOLS,"Metal-organic frameworks (MOFs) are promising next-generation crystalline porous materials with exceptional structural, chemical, and application diversity. Since their discovery, the reticular tunability and physiochemical properties of MOFs have been studied and carefully manipulated to make them suitable for a wide variety of applications. After decades of research, these materials are moving from the benchtop to commercial, industrial-scale production. Although MOFs are now widely explored, the overall environmental impacts of these emerging materials are still underexplored. In this work, the first example of overall assessment of ten industrially produced and widely explored MOFs considering 18 diverse environmental impact categories such as global warming potential, fossil resource scarcity, water consumption, ecotoxicity, etc. via cradle-to-gate life cycle assessment is presented. Importantly, this study presents a comprehensive comparison between different synthetic methods of each MOF and compiles the environmental impacts associated only with the individual synthesis or washing steps. This study highlights the critical importance of using of green solvents over organic to reduce the overall environmental footprint. By identifying the synthetic drawbacks associated with different methods, this work provides a blueprint for the sustainable design and required future development of MOF synthesis. This work represents a pioneering study of systematic and comprehensive environmental impact assessment of 10 of the most widely studied and commercially available metal-organic framework (MOFs), using 18 environmental impact categories. image"
10.1002/adfm.202504117,Programmable 2D Metal-Organic Framework Nanosheets for Enzyme-Like Hydrolysis of Large Proteins,ADVANCED FUNCTIONAL MATERIALS,dipeptide hydrolysis; metal-organic framework nanosheets (MONs); metalloproteases; protein hydrolysis; zirconium,LAYERS; PHOTOOXIDATION; ACID,"The development of materials that mimic the catalytic activity of natural enzymes, so called nanozymes, are of crucial importance in biochemical and biotechnological fields. A Zr-pyridine tribenzoate metal-organic framework nanosheet (MON), Zr-PTB with 6-connected Zr6O8 clusters is synthesized via a formic acid modulated solvothermal synthesis. The catalytic activity of MON, graphene-like 2D materials which possess large external surface areas and tunable properties, is reported for the first time toward peptide bond hydrolysis of various peptides and proteins. Structure-reactivity analysis and the comparison with Zr-BTB (BTB = 1,3,5-tri(4-carboxyphenylbenzene)), a structural analogue of Zr-PTB with a more hydrophobic linker, revealed a delicate interplay between coordination bonds and hydrophobic interactions with the MON's surface as the main driving forces influencing reactivity. Compared to 3D MOFs, Zr-PTB produced a larger number of peptide fragments, indicating the importance of larger external surface area with easily accessible catalytically active sites for more comprehensive hydrolysis of proteins. The advantage of 2D MONs with respect to 3D MOFs, where pore sizes and diffusion of large substrates is a limiting factor influencing their reactivity, is further reflected by the ability to hydrolyze very large proteins. The exceptional stability of Zr-PTB allowed for its recyclability for over 5 reaction cycles."
