"4-(3,5-dimethyl-1H-pyrazol-4-yl)-benzoic acid",216.24
5-bromosalicylic acid,217.02
melem,218.18
2-methoxy-4-(1H-pyrazol-4-yl)benzoic acid,218.21
"2,3,5,6-tetramethylterephthalic acid",222.24
"2,1,3-benzothiadiazole-4,7-dicarboxylic acid",224.2
2-amino-5-nitroterephthalic acid,226.14
"2,5-dimercapto-1,4-benzenedicarboxylic acid",230.3
"2,3,6,7,10,11-hexahydrotriphenylene",234.3
tetrafluoroterephthalic acid,238.09
"1,4-benzenedisulfonic acid",238.2
"1,3-bis(imidazol-1-ylmethyl)benzene",238.29
"4,4'-biphenyldicarboxylic acid",242.23
"biphenyl-4,4'-dicarboxylic acid",242.23
6-(4-carboxyphenyl)nicotinic acid,243.21
"2,2'-bipyridine-5,5'-dicarboxylic acid",244.2
"2-bromo-1,4-benzenedicarboxylic acid",245.03
2-bromoterephthalic acid,245.03
5-bromoisophthalic acid,245.03
2-sulfoterephthalic acid,246.2
"trimethyl-1,3,5-benzenetricarboxylate",249.2
"1,2,4,5-benzenetetracarboxylic acid",254.15
"benzene-1,2,4,5-tetracarboxylic acid",254.15
pyromellitic acid,254.15
"cyclohexane-1,2,4,5-tetracarboxylic acid",260.2
2-sulfoterephthalic acid monosodium salt,268.18
monosodium 2-sulfoterephthalate,268.18
"benzophenone 4,4'-dicarboxylic acid",270.24
benzenehexathiol,270.5
"1,3,5-tri(1H-imidazol-1-yl)benzene",276.3
"2,5-Bis(allyloxy)terephthalic acid",278.26
"1,3,5-(triscarboxyphenyl)benzene",286.24
"Biphenyl-3,4',5-tricarboxylic acid",286.24
"1,5-naphthalenedisulfonate",286.3
"2-nitrobiphenyl-4,4'-dicarboxylic acid",287.22
"triethyl-1,3,5-benzenetricarboxylate",294.3
5-sulfoisophthalic acid sodium salt,312.14
"1,3,5-benzenetrisulfonic acid",318.3
"1,3-di(4-carboxyphenyl)benzene",318.3
"2,3,6,7,10,11-hexahydroxytriphenylene",324.3
"sodium 4-amino-1,5-naphthalenedisulfonate",325.3
potassium hexacyanoferrate(III),329.24
"9-phenylcarbazole-3,6-dicarboxylic acid",331.3
"2',5'-dimethyl-[1,1':4',1''-terphenyl]-4,4''-dicarboxylic acid",346.4
"3,5-di(4'-carboxylphenyl)benozoic acid",362.3
"[1,1':4',1''-terphenyl]-3,4'',5-tricarboxylic acid",362.3
"5-(3,5-dicarboxybenzamido)isophthalic acid",373.3
"1,2-bis(diphenylphosphino)ethane",398.4
"4,4'-(1,10-phenanthroline-3,8-diyl)dibenzoic acid",420.4
aurin tricarboxylic acid,422.3
"1,3,5-tri(4-carboxyphenyl)benzene",438.4
"1,3,5-tris(4-carboxyphenyl)benzene",438.4
"4'-(4-carboxyphenyl)-[2,2':6',2''-terpyridine]-5,5''-dicarboxylic acid",441.4
benzene tribenzoate,441.5
"tris(4-(4H-1,2,4-triazol-4-yl)phenyl)amine",446.5
5-(bis(4-carboxybenzyl)amino)isophthalic acid,449.4
"2'-amino-5'-(4-carboxyphenyl)-[1,1':3',1''-terphenyl]-4,4''-dicarboxylic acid",453.4
tetrakis(4-carboxyphenyl)ethylene,508.5
"2,3,6,7,10,11-hexaaminotriphenylene hexahydrochloride",537.1
"1,2,4,5-tetrakis(4-carboxyphenyl)benzene",558.5
"5,5',5''-(pyridine-2,4,6-triyl)triisophthalic acid",571.4
"1,1,2,2-tetrakis(4-(1H-pyrazol-4-yl)phenyl)ethene",596.7
"4,4',4'',4'''-(9H-carbazole-1,3,6,8-tetrayl)tetrabenzoic acid",647.6
"4'',6'-diamino-5',5''-bis(4-carboxyphenyl)-[1,1':3',1'':3'',1'''-quaterphenyl]-4,4'''-dicarboxylic acid",664.7
tris((4-carboxyl)phenylduryl)amine,774
"4,4,4,4-(Porphine-5,10,15,20-tetrayl)tetrakis(benzoic acid)",790.8
"5,10,15,20-tetrakis(4-carboxyphenyl)porphyrin",790.8
meso-tetra(3-carboxyphenyl)porphine,790.8
meso-tetra(4-carboxyphenyl)porphyrin,790.8
tetra(4-carboxyphenyl)porphine,790.8
tetrakis(4-carboxyphenyl)porphyrin,790.8
Tetrakis(4-carboxyphenyl)porphyrin,790.8
"4',4'',4''',4''''-methanetetrayltetrabiphenyl-4-carboxylic acid",800.8
"4,4',4'',4'''-([9,9'-bicarbazole]-3,3',6,6'-tetrayl)tetrabenzoic acid",812.8
CuTCPP,855.7
"6,6',6'',6'''-(7-(tert-butyl)pyrene-1,3,5,9-tetrayl)tetrakis(2-naphthoic acid)",939
"1,3,5-tris[(1,3-carboxylic acid-5-(4-(ethynyl)phenyl))ethynyl]benzene",942.9
hexakis(4-carboxyphenoxy)cyclotriphosphazene,957.6
gamma-cyclodextrin,1297.1
