metal,linker
Ce,"2,3-naphthalenedicarboxylic acid"
Ce,"2,4,6-pyridinetricarboxylic acid"
Ce,"2,5-bis(3-pyridyl)-3,4-diaza-2,4-hexadiene"
Ce,"2,5-bis(4-pyridyl)-1,3,4-oxadiazole"
Ce,"2,6-naphthalene dicarboxylic acid"
Ce,"2,7-bis(4-benzoic acid)-N-(4-benzoic acid)carbazole"
Ce,"2-(p-methylphenyl)-1H-imidazole-4,5-dicarboxylic acid"
Ce,2-azidobenzoic acid
Ce,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid"
Ce,"3,3',5,5'-azobenzenetetracarboxylic acid"
Ce,"3,5-bi(4-carboxy-phenoxy)benzoic acid"
Ce,"3,5-bis(4-carboxyphenyl)pyridine"
Ce,"3,5-di(1H-imidazol-1-yl)benzonitrile"
Ce,"3-(pyridin-3-yloxy)benzene-1,2-dicarboxylic acid"
Ce,"3-ammonium-1-hydroxypropylidene-1,1-diphosphonic acid"
Ce,"4,4''-dihydroxy-[1,1':4',1'']-terphenyl-3,3''-dicarboxylic acid"
Ce,"4,4'-(porphyrin-5,15-diyl)dibenzoic acid"
Ce,"4,4'-dipyridylamine"
Ce,"4,4'-hexafluoroisopropylidenebisbenzoic acid"
Ce,"4,4,4,4-(Porphine-5,10,15,20-tetrayl) tetrakis"
Ce,"4,4′,4″-nitrilotribenzoic acid"
Ce,"4,4′-azobenzoic acid"
Ce,"4,4′-azobipyridine"
Ce,"4,4′-bis[(1,2,4-triazol-1-yl)methyl]biphenyl"
Ce,"4,4′-dicarboxydiphenyl sulfone"
Ce,"4,4′-dicarboxydiphenylamine"
Ce,"4,5-dicyanoimidazole"
Ce,4-diazabicyclo[2.2.2]octane
Ce,"4′-(2,4-disulfophenyl)-4,2′:6′,4″-terpyridine"
Ce,"5,5′-(hexane-1,6-diyl)-bis(oxy)diisophthalic acid"
Ce,"5,5′-bis(1H-imidazol-1-yl)-2,2′-bithiophene"
Ce,"5,5′-oxydiisophthalic acid"
Ce,5-((carboxymethyl)amino)isophthalic acid
Ce,5-(2-carboxybenzyloxy) isophthalic acid
Ce,5-(3′4′-dicarboxylphenoxy)isophthalic acid
Ce,5-amino-tetrazole
Ce,"5-nitro-1,2,3-benzenetricarboxylic acid"
Ce,5-tert-butylisophthalic acid
Ce,"9,9-dimethyl-2,7-bisimidazolylfluorene"
Ce,"N,N′-diacetic acid imidazolium"
Ce,"N,N′-piperazinebis(methylenephosphonic acid) hydrochloride"
Ce,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Co(II)"
Ce,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Cu(II)"
Ce,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Fe(III) chloride"
Ce,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Mn(III) chloride"
Ce,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Ni(II)"
Ce,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Zn(II)"
Ce,[PR63]2+·2[NO3]−
Ce,"cis,cis-1,3,5-cyclohexanetricarboxylic acid"
Ce,"cyclohexane-1,2,4,5-tetracarboxylic acid"
Ce,diazabicyclo[2.2.2]octane
Ce,"difluoro-substituted 4,4′-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid"
Ce,malonic acid
Ce,meso-tartaric acid monohydrate
Ce,monosodium salt of 2-sulfonyl terephthalic acid
Ce,piperazine
Ce,potassium oxalate
Ce,sebacic acid
Ce,tetrakis(4-(2-(pyridin-4-yl)ethyl)phenyl)methane
Ce,triptycenedicarboxylic acid
Ce,(1S)-1-(5-tetrazolyl)ethylamine
Ce,"1,2,3,4-butanetetracarboxylic acid"
Ce,"1,2,4,5-tetra(4-pyridyl)benzene"
Ce,"1,3,5,7-adamantane tetracarboxylic acid"
Ce,"1,3,5-benzenetriphosphonic acid"
Ce,"1,3,5-tri(1H-imidazol-4-yl)benzene"
Ce,"1,3,5-tris(pyridin-4-ylethynyl)benzene"
Ce,"1,3,6,8-tetrakis(4-carboxyphenyl)pyrene"
Ce,"1,3-bis(benzimidazolyl)benzene"
Ce,"1,4-bis(2-(4-thiazolyl)benzimidazol-1-ylmethyl)benzene"
Ce,"1,4-bis(2-methylbenzimidazol-1-ylmethyl)benzene"
Ce,"1,4-bis(2-methylimidazol-1-ylmethyl)benzene"
Ce,"1-(2-carboxyethyl)-1H-1,2,4-triazole-3-carboxylic acid"
Ce,1-(4-(1H-imidazole-1-yl)butyl)-1H-imidazole
Ce,"1H-2-methyl-4,5-imidazole-dicarboxylic acid"
Ce,1H-pyrazole-4-carboxylic acid
Ce,"2,2′-Bipyridine-5,5′-dicarboxylic acid"
Ce,"2,2′-biimidazole"
Ce,"2,2′-oxybis(benzoic acid)"
Ce,2-(4-carboxylphenoxy)terephthalic acid
Ce,"2-amino-1,4-benzenedisulfonate"
Ce,2-amino-5-nitroterephthalic acid
Ce,"2-methyl-1H-imidazole-4,5-dicarboxylic acid"
Ce,"2-phenyl-1H-imidazole-4,5-dicarboxylic acid"
Ce,2-phenylazoimidazole
Ce,"3,3'-dichloro-4,4'-azobenzenedicarboxylic acid"
Ce,"3,3′-azodibenzoic acid"
Ce,"3,5,3',5'-oxytetrabenzoic acid"
Ce,"3,5-bis(3,5-dicarboxylphenyl)-1-H-1,2,4-triazole"
Ce,3-pyridin-4-ylbenzoic acid
Ce,"3-quinolinecarbonitrile (in situ to 5-(quinolyl)tetrazolate, QTZ)"
Ce,"4,4’-bis(1-imidazolyl)bibenzene"
Ce,"4,4′,4″,4‴-(pyrazine-2,3,5,6-tetrayl)tetrabenzoic acid"
Ce,"4,4′,4″-(nitrilotris(methylene))tribenzoic acid"
Ce,"4,4′-(2,5-dibutoxy-1,4-phenylene)dipyridine"
Ce,"4,4′-azobispyridine"
Ce,"4,4′-benzophenonedicarboxylic acid"
Ce,"4,4′-dihydroxy-(1,1′-biphenyl)-3,3′-dicarboxylic acid"
Ce,"4-(4H-1,2,4-triazol-4-yl)benzoic acid"
Ce,4-(5-carboxypyridin-2-yl)isophthalic acid
Ce,4-formylbenzoic acid
Ce,4-pyridyltetrazole
Ce,"4’-(4-(benzimidazol-1-yl)phenyl)-4,2’:6’,4’’-terpyridine"
Ce,"4′-(4-pyridyl)-2,2′:6′,2″-terpyridine"
Ce,"5,5′-(2,2-bis((3,5-dicarboxyphenoxy)methyl)propane-1,3-diyl)bis(oxy)diisophthalic acid"
Ce,"5,5′-bis(4-pyridyl)-2,2′-bithiophene"
Ce,5-(3-Pyridylmethoxy)isophthalic acid
Ce,5-(3-carboxy-phenyl)-pyridine-2-carboxylic acid
Ce,5-(4-carboxyphenoxy)isophthalic acid
Ce,5-(4-pyridyl)-methoxyl isophthalic acid
Ce,5-(4-pyridyl)tetrazole
Ce,5-(bis(4-carboxybenzyl)amino)isophthalic acid
Ce,5-(pyrazinyl)tetrazole
Ce,5-(pyridin-4-yl)isophthalic acid
Ce,5-sulfosalicylic acid
Ce,"9,9-diethyl-2,7-bisimidazolylfluorene"
Ce,"Bis(4-(4H-1,2,4-triazol-4-yl)phenyl)methane"
Ce,"D,L-tartaric acid"
Ce,D-tartaric acid
Ce,N-(phosphonomethyl)iminodiacetic acid
Ce,"[1,1′-biphenyl]-3,3′,5,5′-tetracarboxylic acid"
Ce,"benzene-1,2,4-tricarboxylic acid"
Ce,glutarate
Ce,hexamethylenetetramine
Ce,m-xylenediphosphonic acid
Ce,"meso-2,3-dimethylsuccinic acid"
Ce,"p-terphenyl-2,2'',2''',5,4'',4'''-hexcarboxylic acid"
Ce,purine
Ce,sodium isophthalate
Ce,"trans,trans-muconic acid"
Ce,"trans-1,2-bis(4-pyridyl)ethylene"
Ce,tri(2-carboxyethyl)isocyanurate
Ce,tri(pyridin-4-yl)amine
Ce,"trimethyl 1,3,5-benzenetricarboxylate"
Ce,tris(4-imidazolylphenyl)amine
Ce,tris(pyrazin-2-ylmethyl)phosphine
Ce,γ-cyclodextrin
Ce,(E)-2-[2-(4-Carboxy)ethenyl]-8-hydroxyquinoline
Ce,(R)-4-(4-(1-carboxyethoxy)phenoxy)-3-fluorobenzoic acid
Ce,(R)-malic acid
Ce,(ethylenedithio)diacetic acid
Ce,(pyridin-3-yl)methyl 4-(2-(4-((pyridin-3-yl)methoxy)phenyl)diazenyl)benzoate
Ce,"1,1′-oxybis[3,5-di-4-pyridine]-benzene"
Ce,"1,1′-oxybis[3,5-dipyridine-benzene]"
Ce,"1,2-di(4-pyridyl)ethane"
Ce,"1,3,5-benzene-tri-p-phenylphosphonic acid"
Ce,"1,3,5-benzenetricarboxylate"
Ce,"1,3-bis(2-methylimidazolyl)propane"
Ce,"1,3-bis(3-carboxyphenyl)-1H-imidazol-3-ium bromide"
Ce,"1,3-bis(imidazole)propane"
Ce,"1,4-bis(1,2,4-triazol-4-ylmethyl)benzene"
Ce,"1,4-bis(2-[4-carboxyphenyl]ethynyl)benzene"
Ce,"1,4-bis(imidazole-1-ylmethyl)benzene"
Ce,"1,4-bis(imidazolyl)butane"
Ce,"1,4-bis[2-(4-pyridyl)ethenyl]-2,3,5,6-tetramethylbenzene"
Ce,"1,4-butylenediphosphonic acid"
Ce,"1,4-diazo[2.2.2]bicyclooctane"
Ce,"1-(4-(1H-imidazol-5-yl)phenyl)-1H-1,2,4-triazole"
Ce,"1-(9-(1H-1,2,4-triazol-1-yl)anthracen-10-yl)-1H-1,2,4-triazole"
Ce,"1H-3,5-bis(pyrazinyl)-1,2,4-triazole"
Ce,"1H-pyrazole-3,5-dicarboxylic acid"
Ce,1H-tetrazole
Ce,"2,1,3-benzothiadiazole-4,7-dicarboxylic acid"
Ce,"2,2′,4,4′-biphenyltetracarboxylic acid"
Ce,"2,2′-azodibenzoic acid"
Ce,"2,2′-bipyridine-6,6′-dicarboxylic acid"
Ce,"2,3′,4,4′-diphenyl ether tetracarboxylic acid"
Ce,"2,3′,5,5′-biphenyl tetracarboxylic acid"
Ce,"2,3′,5,5′-biphenyltetracarboxylic acid"
Ce,"2,4,6-Tri(4-pyridyl)-1,3,5-triazine"
Ce,"2,4,6-trimethylbenzene-1,3,5-tricarboxylic acid"
Ce,"2,4,6-tris(3,5-dicarboxylphenylamino)-1,3,5-triazine"
Ce,"2,4,6-tris(4-carboxyphenoxy)-1,3,5-triazine"
Ce,"2,4,6-tris(4-carboxyphenyl)-1,3,5-triazine"
Ce,"2,4-bis(4-carboxyphenylamino)-6-bis(carboxymethyl)amino-1,3,5-triazine"
Ce,"2,4-dihydroxypyrimidine-5-carboxylic acid"
Ce,"2,5-bis(prop-2-yn-1-yloxy)terephthalic acid"
Ce,"2,5-pyrazinedicarboxylic acid"
Ce,"2,6-bis(3,5-dicarboxyphenyl)pyridine"
Ce,"2,7-bis(4-benzoic acid)-N-(4-benzoic acid) carbazole"
Ce,"2,7-dihydroxybenzo[lmn][3,8]phenanthroline-1,3,6,8(2H,7H)-tetraone"
Ce,"2,7-naphthalenedisulfonate"
Ce,"2,8-di(1H-imidazol-1-yl)dibenzofuran"
Ce,"2-(2-carboxyphenyl)imidazo(4,5-f)-(1,10)phenanthroline"
Ce,"2-(3-(4-(pyridin-4-yl)phenyl)-1H-1,2,4-triazol-5-yl)pyridine"
Ce,2-(Dimethylamino)terephthalic acid
Ce,2-(benzimidazol-1-yl)terephthalic acid
Ce,"2-[4-(1H-imidazole-1-ylmethyl)-1H-1,2,3-triazol-1-yl] acetic acid"
Ce,2-hydroxyisophthalic acid
Ce,2-mercaptonicotinic acid
Ce,2-methoxyterephthalic acid
Ce,2-methylsuccinic acid
Ce,"2-nitrobenzene-1,4-dicarboxylic acid"
Ce,"2-propyl-1H-imidazole-4,5-dicarboxylic acid"
Ce,2-pyrimidinecarbonitrile
Ce,"3,3′,5,5′-azoxybenzenetetracarboxylic acid"
Ce,"3,5-bis(1′,2′,4′-triazol-1′-yl)pyridine"
Ce,"3,5-bis-oxyacetate-benzoic acid"
Ce,"3,5-dimethyl-1H-1,2,4-triazole"
Ce,"3-(3,5-dicarboxylphenyl)-5-(pyrid-4-yl)-1-H-1,2,4-triazole"
Ce,3-aminopyrazine-2-carboxylic acid
Ce,"3-carboxy-1-(3,5-dicarboxybenzyl)pyridinium bromide"
Ce,3-cyanobenzoic acid (in situ precursor to 3-(1H-tetrazol-5-yl)benzoate)
Ce,3-nitrophthalic acid
Ce,3-phenyl-1H-pyrazole-4-carboxylic acid
Ce,"4,4',4''-benzene-1,3,5-triyl-tribenzoic acid"
Ce,"4,4',6,6'-tetracarboxy-2,2'-bipyridine"
Ce,"4,4'-(Hexafluoroisopropylidene) bis(benzoic acid)"
Ce,"4,4'-(hydroxymethanediyl) dibenzoic acid"
Ce,"4,4'-azobispyridine"
Ce,"4,4'-bis(1,2,4-triazol-1-ylmethyl)biphenyl"
Ce,"4,4’,4’’-(2,4,6-trimethylbenzene-1,3,5-triyl)tribenzoic acid"
Ce,"4,4′,4″-benzene-1,3,5-triyltribenzoic acid"
Ce,"4,4′-azodibenzoic acid"
Ce,"4,4′-bis((1H-imidazol-1-yl)methyl)biphenyl"
Ce,"4,4′-bis(2-sulfonatostiryl)biphenyl disodium salt"
Ce,"4,4′-bis(imidazolyl)diphenyl ether"
Ce,"4,4′-dithiodibenzoic acid"
Ce,"4,4′-trimethylenedipyridine"
Ce,"4,8-disulfonaphthalene-2,6-dicarboxylic acid"
Ce,4-(1H-tetrazol-5-yl)phenol
Ce,"4-(3′,5′-dicarboxylphenoxy)phthalic acid"
Ce,4-(4-(pyridine-4-phenyl)amido)benzoic acid
Ce,4-(4-carboxyphenoxy)-isophthalic acid
Ce,"4-(4-carboxyphenyl)-4,2’:6’,4’’-terpyridine"
Ce,"4-(4-carboxyphenylamino)-3,5-dinitrobenzoic acid"
Ce,4-(6-carboxy-pyridin-3-yl)-isophthalic acid
Ce,4-[(1H-imidazol-4-yl)methylamino]benzoic acid
Ce,4-phosphonato-4′-biphenylcarboxylic acid
Ce,4-pyr-poly-2-ene
Ce,4-pyridylacetic acid hydrochloride
Ce,"5,5,7,12,12,14-hexamethyl-1,4,8,11-tetraazacyclotetradecane"
Ce,"5,5′-(1,2-phenylenebis(methoxy))diisophthalic acid"
Ce,"5,5′-(2,3,6,7-tetramethoxyanthracene-9,10-diyl)diisophthalic acid"
Ce,"5,5′-(p-xylylenediamino)-1,1′,3,3′-(benzenetetracarboxylic acid)"
Ce,5-(1H-tetrazol-5-yl)isophthalic acid
Ce,"5-(3,5-dicarboxybenzyloxy)-3-pyridine carboxylic acid"
Ce,5-(6-Carboxypyridin-3-yl)isophthalic acid
Ce,5-(pyridine-3-yl)pyrazole-3-carboxylic acid
Ce,"5-[(3,5-Dicarboxybenzyl)oxy]isophthalic acid"
Ce,5-bromonicotinic acid
Ce,5-hydroxy-isophthalic acid
Ce,5-methylbenzimidazole
Ce,5-methyltetrazole
Ce,5-sulfoisophthalic acid sodium salt
Ce,"6,6'-dithiodinicotinic acid"
Ce,"6,6′-dinitrobiphenyl-2,2′,4,4′-tetracarboxylic acid"
Ce,6-(4-carboxyphenyl)nicotinic acid
Ce,"9,10-bis(N-benzimidazolyl)-anthracene"
Ce,"Benzene-1,3,5-tris(4-benzoic acid)"
Ce,"Biphenyl-3,4',5-tricarboxylic acid"
Ce,Co(H2DCPP)Cl
Ce,DL-camphoric acid
Ce,K(H2dF-BTC)
Ce,L-tyrosine
Ce,"N,N-di-(phenyl-2-hydroxy-4-carboxylate)-naphthalene-1,4,5,8-tetracarboxylic acid diimide"
Ce,"N,N′-bis(5-isophthalic acid)naphthalenediimide"
Ce,"[1,1’:3’,1’’-terphenyl]-3,3’’,5,5’’-tetracarboxylic acid"
Ce,"[1,1′;4′,1″]terphenyl-3,5,2′,5′,3″,5″-hexacarboxylic acid"
Ce,amino-terephthalic acid
Ce,"benzene-1,3,5-tri-β-acrylic acid"
Ce,"benzene-1,3,5-triphosphonic acid"
Ce,"benzophenone-2,4′-dicarboxylic acid"
Ce,"benzophenone-4,4'-dicarboxylic acid"
Ce,biphenyldicarboxylic acid
Ce,bis(4-(pyridine-4-yl)phenyl)amine
Ce,bis(4-imidazolphenoxy)methane
Ce,bis(4-pyridyl)amine
Ce,"cis,cis-1,3,5-cyclohexanetricarboxylate"
Ce,"cyclohex-1-ene-1,2-dicarboxylic acid"
Ce,disodium 2-hydroxyterephthalate monohydrate
Ce,disodium succinate
Ce,fluconazole
Ce,"hexakis(1,2,4-triazol-ylmethyl)benzene"
Ce,hexakis(4-carboxyphenoxy)cyclotriphosphazene
Ce,homophthalic acid
Ce,homoterephthalic acid
Ce,iminodiacetic acid
Ce,maleic acid
Ce,meso-tartaric acid hydrate
Ce,methylmalonic acid
Ce,"naphthalene-2,3-dicarboxylic acid"
Ce,nitro terephthalic acid
Ce,o-xylenediphosphonic acid
Ce,p-xylenediphosphonic acid
Ce,polyethylene terephthalate
Ce,polyethylene terephthalate (PET) waste
Ce,"pyrazole-3,5-dicarboxylic acid monohydrate"
Ce,pyrimidin-2-ol
Ce,"tetrahydrofuran-2,3,4,5-tetracarboxylic acid"
Ce,tetrakis(3-carboxyphenyl)silicon
Ce,tetrakis(4-carboxyphenyl)silane
Ce,tetrathiafulvalene tetrabenzoic acid
Ce,tetrazole
Ce,triethanolamine
Ce,triethylenediamine
Ce,tris(4′-carboxybiphenyl)amine
Ce,tris(p-carboxyphenyl)methane
Ce,trisodium 5-sulfoisophthalate
Ce,"(1,1'-biphenyl)-2,4,6-tricarboxylic acid"
Ce,"(2S,3S,4R,5R)-tetrahydrofurantetracarboxylic acid"
Ce,"(3,5-dicarboxyl-phenyl)-(4-(2’-carboxyl-phenyl)-benzyl)ether"
Ce,"(3,5-dicarboxyl-phenyl)-(4-(2′-carboxyl-phenyl)-benzyl) ether"
Ce,(E)-5-(2-carboxyvinyl)thiophene-3-carboxylic acid
Ce,"(R,R)-2,2′-((5-(methoxycarbonyl)-1,3-phenylene)bis(oxy))dipropanoic acid"
Ce,(S)-5-(((1-carboxyethyl)amino)methyl)isophthalic acid
Ce,"(S,S)-2,2′-((5-(methoxycarbonyl)-1,3-phenylene)bis(oxy))dipropanoic acid"
Ce,"1,1-(1,4-butanediyl)bis-1H-benzimidazole"
Ce,"1,1’-biscarboxymethyl-4,4’-bipyridium"
Ce,"1,1′-biphenyl-2,2′-dicarboxylate acid"
Ce,"1,1′-ferrocenedicarboxylic acid"
Ce,"1,1′:4′,1″:4″,1‴-quaterphenyl-2,4,2‴,4‴-tetracarboxylic acid"
Ce,"1,2,3,4,5,6-hexakis[4,4″-dicarboxy-(1,1′:3′,1″-terphenyl)]benzene"
Ce,"1,2,3,4,5-benzenepentacarboxylic acid"
Ce,"1,2,3,4-tetra-(4-pyridyl)-butane"
Ce,"1,2,4,5-tetrakis[(4-carboxy)phenoxymethyl]benzene"
Ce,"1,2-bis(1,2,4-triazol-1-yl)ethane"
Ce,"1,2-bis(1,2,4-triazole-1-yl)ethane"
Ce,"1,2-bis(imidazol-10-yl)ethane"
Ce,"1,2-bis(pyridin-3-yloxy)ethane"
Ce,"1,2-bis[4-(4H-1,2,4-triazol-4-yl)phenoxy]ethane"
Ce,"1,2-bis[4-amino-5-carboxylmethylthio-(1,2,4-triazol-3-yl)]ethane"
Ce,"1,2-di(pyridin-4-yl)ethene"
Ce,"1,2-ethylenediphosphonic acid"
Ce,"1,3,5,7-tetrakis(tetrazol-5-yl)adamantane trihydrate"
Ce,"1,3,5-tricarboxybenzene"
Ce,"1,3,5-trimethylimidazole-2,4,6-triethylbenzene"
Ce,"1,3,5-tris(1-imidazol-1-ylmethyl)-2,4,6-trimethylbenzene"
Ce,"1,3-bis((S)-1-carboxyethyl)-1H-imidazol-3-ium chloride"
Ce,"1,3-bis(3,5-dicarboxyphenyl) imidazolium chloride"
Ce,"1,3-bis(3′-carboxypyridine)adamantane"
Ce,"1,3-bis(4-pyridyl-3-cyano)propane"
Ce,"1,3-bis(carboxymethyl)imidazolium chloride"
Ce,"1,3-di(2',4'-dicarboxylphenyl)benzene"
Ce,"1,3-di(2′,4′-dicarboxyphenyl)benzene"
Ce,"1,3-di-(1,2,4-triazole-4-yl)benzene"
Ce,"1,3-di-4-pyridylpropane"
Ce,"1,4-bis(1-imidazolium)benzene"
Ce,"1,4-bis(1-imidazolyl)-benzene"
Ce,"1,4-bis(1H-imidazol-4-yl)benzene"
Ce,"1,4-bis(3-pyridylaminomethyl)benzene"
Ce,"1,4-bis(4-(imidazole-1-yl)benzyl)piperazine"
Ce,"1,4-bis(4-pyridyl)benzene"
Ce,"1,4-bis(imidazol-1’-yl)butane"
Ce,"1,4-bis-(1,2,4-triazol-1-ylmethyl)benzene"
Ce,"1,4-bis[(2-(4-(1H-imidazol-1-yl)-phenyl)-1H-imidazol-1-yl)-methyl]benzene"
Ce,"1,4-di(4H-1,2,4-triazol-4-yl)benzene"
Ce,"1,4-di(pyridin-4-yl)benzene"
Ce,"1,4-di-(1,2,4-triazole-4-yl)benzene"
Ce,"1,4-phenylenebis(methylidyne)tetrakis(phosphonic acid)"
Ce,"1,5-bi(imidazolyl)anthracene"
Ce,"1,5-bis(5-tetrazolo)-3-oxapentane"
Ce,"1,5-naphthalenedisulfonic acid tetrahydrate"
Ce,"1-((1H-1,2,4-triazol-1-yl)methyl)-3,5-bis(3-pyridyl)-1,2,4-triazole"
Ce,"1-(1-imidazolyl)-3,5-bis(imidazol-1-ylmethyl)benzene"
Ce,1-(1-imidazolyl)-4-(imidazol-1-ylmethyl)benzene
Ce,"1-(3,5-dicarboxyphenyl)-4-carboxy-1H-1,2,3-triazole"
Ce,"1-(triazol-1-yl)-2,4,6-benzenetricarboxylic acid"
Ce,"2,2'-bipyridine-3,3',6,6'-tetracarboxylic acid"
Ce,"2,2'-bipyridine-3,3'-dicarboxylic acid"
Ce,"2,2-bis(4-carboxyphenyl)hexafluoropropane"
Ce,"2,2′-biselenophene-5,5′-dicarboxylic acid"
Ce,"2,3,6,7,10,11-hexaaminotriphenylene hexahydrochloride"
Ce,"2,3,6,7,10,11-hexahydroxytriphenylene"
Ce,"2,3,6,7,10,11-hexahydroxytriphenylene hydrate"
Ce,"2,3-pyrazinedicarboxylic acid"
Ce,"2,4,6-Tris(4-pyridyl)pyridine"
Ce,"2,4,6-trimethyl benzene-1,3,5-triyl-triisophthalate"
Ce,"2,4,6-tris(3-pyridyl)-1,3,5-triazine"
Ce,"2,5,8-tri-(4-pyridyl)-1,3,4,6,7,9-hexaazaphenalene"
Ce,"2,5-bis(2-methoxyethoxy)-1,4-benzenedicarboxylate"
Ce,"2,5-dibutoxy-1,4-benzenedicarboxylate"
Ce,"2,5-dimethoxy-1,4-benzoquinone"
Ce,"2,5-piperazinedione-1,4-diacetic acid"
Ce,"2,6-bis(2′,4′-dicarboxylphenyl)pyridine"
Ce,"2,6-pyridinedicarboxylic acid"
Ce,"2,8,14,20-tetra-methyl-4,6,10,12,16,18,22,24-octa-carboxymethoxy-calix[4]arene"
Ce,"2-((1H-1,2,4-triazol-1-yl)methyl)-1H-imidazole-4,5-dicarboxylic acid"
Ce,2-((pyridin-4-ylmethyl)amino)terephthalic acid
Ce,"2-(2-sulfophenyl)imidazo(4,5-f)(1,10)-phenanthroline"
Ce,2-(4-carboxyphenoxy)terephthalic acid
Ce,"2-(4-carboxyphenyl)imidazo[4,5-f]-1,10-phenanthroline"
Ce,2-(imidazole-1-yl)terephthalic acid
Ce,"2-(pyridin-4-yl)-4,6-pyrimidine dicarboxylic acid"
Ce,"2-amino-[1,1′-biphenyl]-4,4′-dicarboxylic acid"
Ce,2-aminobenzimidazole
Ce,2-aminoterephthalic acid disodium salt monohydrate
Ce,"2-ethynyl-[1,1′-biphenyl]-4,4′-dicarboxylic acid"
Ce,2-imidazolecarboxaldehyde
Ce,2-iodoterephthalic acid
Ce,2-pyrazinecarboxylic acid
Ce,2-sulfoterephthalic acid monosodium salt
Ce,"2′,5′-dimethoxy-[1,1′:4′,1′′-terphenyl]-4,4′′-dicarboxylic acid"
Ce,2′-carboxybiphenyl-4-ylmethylaminodiacetic acid
Ce,"3,3',4,4'-biphenyltetracarboxylic acid"
Ce,"3,3′,4,4′-biphenyltetracarboxylic acid"
Ce,"3,3′,4,4′-diphenylsulfonetetracarboxylic dianhydride"
Ce,"3,3′,5,5′-Tetramethyl-4,4′-bi-1H-pyrazole"
Ce,"3,3′,5,5′-azobenzene-tetracarboxylic acid"
Ce,"3,3′-bipyridine"
Ce,"3,5-bis((4'-carboxylbenzyl)oxy)benzoic acid"
Ce,"3,5-bis((4’-carboxylbenzyl)oxy)benzoic acid"
Ce,"3,5-bis(3,5-dicarboxylphenoxy)benzoic acid"
Ce,"3,5-bis(3-pyridyl-3-(3′-methylphenyl)-1,3,4-oxadiazole"
Ce,"3,5-di(1H-benzimidazol-1-yl)pyridine"
Ce,"3,6-di(4H-imidazol-4-yl)benzene-1,2-diamine"
Ce,3-((6-carboxynaphthalen-2-yl)oxy)phthalic acid
Ce,3-(3-pyridyl)acrylic acid
Ce,"3-(5-(pyridin-4-yl)-4H-1,2,4-triazol-3-yl)benzoic acid"
Ce,3-[4-(carboxymethoxy)phenyl]propanoic acid
Ce,"3-amino-1,2,4-triazole-5-carboxylic acid hydrate"
Ce,3-amino-4-hydroxybenzoic acid
Ce,3-fluoro-4-pyridinecarboxylic acid
Ce,3-methyl pyridine
Ce,"3-methyl-1,2,4-triazole"
Ce,3-methyladipic acid
Ce,3-pyridylmethyl phosphonic acid
Ce,"4,4',4''-Tricarboxytriphenylamine"
Ce,"4,4'-(1E,1'E)-2,2'-(2,5-dimethoxy-1,4-phenylene)bis(ethene-2,1-diyl)dibenzoic acid"
Ce,"4,4'-(2,2-bis((4-carboxyphenoxy)methyl)propane-1,3-diyl)bis(oxy)dibenzoic acid"
Ce,"4,4'-(diazene-1,2-diyl)dibenzoic acid"
Ce,"4,4'-(ethyne-1,2-diyl)dibenzoic acid"
Ce,"4,4'-azobipyridine"
Ce,"4,4'-dicarboxy-2,2'-bipyridine"
Ce,"4,4'-dicarboxybiphenyl sulfone"
Ce,"4,4'-dicarboxydiphenyl sulfone"
Ce,"4,4'-stilbenedicarboxylic acid"
Ce,"4,4′,4″,4‴-((9,10-dioxo-9,10-dihydroanthracene-2,6-diyl)bis(azanetriyl))tetrabenzoic acid"
Ce,"4,4′,4″,4‴-benzene-1,2,4,5-tetrayltetrabenzoic acid"
Ce,"4,4′,4″-{[(2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene)]tris(oxy)}tribenzoic acid"
Ce,"4,4′-((4-(pyridin-4-yl)phenyl)azanediyl)dibenzoic acid"
Ce,"4,4′-(1,2-dihydroxyethane-1,2-diyl)dibenzoic acid"
Ce,"4,4′-(1,4-(xylene)diyl)bis(1,2,4-triazole)"
Ce,"4,4′-(1H-1,2,4-triazol-1-yl)methylenebis(benzoic acid)"
Ce,"4,4′-(4-(3-carboxyphenyl)pyridine-2,6-diyl)dibenzoic acid"
Ce,"4,4′-(4H-1,2,4-triazole-3,5-diyl)dibenzoic acid"
Ce,"4,4′-[1,4-phenylenebis(ethyne-2,1-diyl)]-dibenzoic acid"
Ce,"4,4′-azobis(pyridine)"
Ce,"4,4′-azodisalicylic acid"
Ce,"4,4′-dicarboxybiphenyl sulfone"
Ce,"4,4′-dioxidobiphenyl-3,3′-dicarboxylic acid"
Ce,"4,4′-dipyridyl"
Ce,"4,5-di(4'-carboxylphenyl)phthalic acid"
Ce,"4-(2,4-dicarboxylphenyl) picolinic acid"
Ce,"4-(3,5-dicarboxylatobenzyloxy)benzoic acid"
Ce,"4-(3,5-dicarboxylphenyl) picolinic acid"
