metal,linker
Zn,"1,4-phenylenedipropionic acid"
Zn,"1,7-di(4-carboxyphenyl)-1,7-dicarba-closo-dodecaborane"
Zn,"1-bromo-3,5-bis(imidazol-1-ylmethyl)benzene"
Zn,"1′,2′,3′,4′,5′,6′-hexakis(4-carboxyphenyl)benzene"
Zn,"2',5'-dimethyl-[1,1':4',1''-terphenyl]-4,4''-dicarboxylic acid"
Zn,"2,4,6-pyridinetricarboxylic acid"
Zn,"2,7-bis(4-benzoic acid)-N-(4-benzoic acid)carbazole"
Zn,"2-(p-methylphenyl)-1H-imidazole-4,5-dicarboxylic acid"
Zn,2-azidobenzoic acid
Zn,"3,5-bi(4-carboxy-phenoxy)benzoic acid"
Zn,"3,5-bis(4-carboxyphenyl)pyridine"
Zn,"3,5-bis(4-carboxyphenylmethyloxy) benzoic acid"
Zn,"3-ammonium-1-hydroxypropylidene-1,1-diphosphonic acid"
Zn,"4,4''-dihydroxy-[1,1':4',1'']-terphenyl-3,3''-dicarboxylic acid"
Zn,"4,4'-(porphyrin-5,15-diyl)dibenzoic acid"
Zn,"4,4,4,4-(Porphine-5,10,15,20-tetrayl) tetrakis"
Zn,"4,4′-azobenzoic acid"
Zn,"4′-(2,4-disulfophenyl)-4,2′:6′,4″-terpyridine"
Zn,"5,5′-(hexane-1,6-diyl)-bis(oxy)diisophthalic acid"
Zn,5-amino-tetrazole
Zn,"6,6',6'',6'''-(7-(tert-butyl)pyrene-1,3,5,9-tetrayl)tetrakis(2-naphthoic acid)"
Zn,"N,N′-diacetic acid imidazolium"
Zn,"N,N′-piperazinebis(methylenephosphonic acid) hydrochloride"
Zn,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Co(II)"
Zn,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Cu(II)"
Zn,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Fe(III) chloride"
Zn,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Mn(III) chloride"
Zn,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Ni(II)"
Zn,"[5,10,15,20-tetrakis(4-carboxyphenyl)porphyrinato]-Zn(II)"
Zn,"benzene-1,4-dioxydiacetic acid"
Zn,"cis,cis-1,3,5-cyclohexanetricarboxylic acid"
Zn,"difluoro-substituted 4,4′-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid"
Zn,meso-tartaric acid monohydrate
Zn,monosodium salt of 2-sulfonyl terephthalic acid
Zn,sebacic acid
Zn,tetrakis(4-(2-(pyridin-4-yl)ethyl)phenyl)methane
Zn,(1S)-1-(5-tetrazolyl)ethylamine
Zn,"1,2,3,4-butanetetracarboxylic acid"
Zn,"1,3,5,7-adamantane tetracarboxylic acid"
Zn,"1,3,5-tris(pyridin-4-ylethynyl)benzene"
Zn,"1,3,6,8-tetrakis(4-carboxyphenyl)pyrene"
Zn,"1,4-bis(2-(4-thiazolyl)benzimidazol-1-ylmethyl)benzene"
Zn,"1,4-bis(2-methylbenzimidazol-1-ylmethyl)benzene"
Zn,"1-(2-carboxyethyl)-1H-1,2,4-triazole-3-carboxylic acid"
Zn,1H-pyrazole-4-carboxylic acid
Zn,2-(4-carboxylphenoxy)terephthalic acid
Zn,"2-amino-1,4-benzenedisulfonate"
Zn,2-amino-5-nitroterephthalic acid
Zn,"2-methyl-1H-imidazole-4,5-dicarboxylic acid"
Zn,"2-phenyl-1H-imidazole-4,5-dicarboxylic acid"
Zn,"3,3'-dichloro-4,4'-azobenzenedicarboxylic acid"
Zn,"3,3′-azodibenzoic acid"
Zn,"3,5-bis(3,5-dicarboxylphenyl)-1-H-1,2,4-triazole"
Zn,"4,4’-bis(1-imidazolyl)bibenzene"
Zn,"4,4′,4″,4‴-(pyrazine-2,3,5,6-tetrayl)tetrabenzoic acid"
Zn,"4,4′,4″-(nitrilotris(methylene))tribenzoic acid"
Zn,"4,4′-(2,5-dibutoxy-1,4-phenylene)dipyridine"
Zn,"4,4′-azobispyridine"
Zn,4-pyridyltetrazole
Zn,"4′-(4-pyridyl)-2,2′:6′,2″-terpyridine"
Zn,5-(4-carboxyphenoxy)isophthalic acid
Zn,5-(4-pyridyl)-methoxyl isophthalic acid
Zn,5-(pyridin-4-yl)isophthalic acid
Zn,"9,9-diethyl-2,7-bisimidazolylfluorene"
Zn,"D,L-tartaric acid"
Zn,D-tartaric acid
Zn,N-(phosphonomethyl)iminodiacetic acid
Zn,"benzene-1,2,4-tricarboxylic acid"
Zn,m-xylenediphosphonic acid
Zn,"trans,trans-muconic acid"
Zn,tri(pyridin-4-yl)amine
Zn,"trimethyl 1,3,5-benzenetricarboxylate"
Zn,tris(pyrazin-2-ylmethyl)phosphine
Zn,γ-cyclodextrin
Zn,(R)-malic acid
Zn,(ethylenedithio)diacetic acid
Zn,"1,1′-oxybis[3,5-di-4-pyridine]-benzene"
Zn,"1,2-di(4-pyridyl)ethane"
Zn,"1,3,5-benzene-tri-p-phenylphosphonic acid"
Zn,"1,3,5-benzenetricarboxylate"
Zn,"1,4-bis(1,2,4-triazol-4-ylmethyl)benzene"
Zn,"1,4-bis(2-[4-carboxyphenyl]ethynyl)benzene"
Zn,"1,4-butylenediphosphonic acid"
Zn,"1-(9-(1H-1,2,4-triazol-1-yl)anthracen-10-yl)-1H-1,2,4-triazole"
Zn,"1H-pyrazole-3,5-dicarboxylic acid"
Zn,"2,1,3-benzothiadiazole-4,7-dicarboxylic acid"
Zn,"2,2′-azodibenzoic acid"
Zn,"2,2′-bipyridine-6,6′-dicarboxylic acid"
Zn,"2,3′,4,4′-diphenyl ether tetracarboxylic acid"
Zn,"2,3′,5,5′-biphenyl tetracarboxylic acid"
Zn,"2,3′,5,5′-biphenyltetracarboxylic acid"
Zn,"2,4,6-Tri(4-pyridyl)-1,3,5-triazine"
Zn,"2,4,6-tris(3,5-dicarboxylphenylamino)-1,3,5-triazine"
Zn,"2,4-dihydroxypyrimidine-5-carboxylic acid"
Zn,"2,5-bis(prop-2-yn-1-yloxy)terephthalic acid"
Zn,"2,5-diaminoterephthalic acid"
Zn,"2,5-pyrazinedicarboxylic acid"
Zn,"2,6-bis(3,5-dicarboxyphenyl)pyridine"
Zn,"2,7-dihydroxybenzo[lmn][3,8]phenanthroline-1,3,6,8(2H,7H)-tetraone"
Zn,"2,7-naphthalenedisulfonate"
Zn,"2,8-di(1H-imidazol-1-yl)dibenzofuran"
Zn,"2-(2-carboxyphenyl)imidazo(4,5-f)-(1,10)phenanthroline"
Zn,2-(benzimidazol-1-yl)terephthalic acid
Zn,"2-[4-(1H-imidazole-1-ylmethyl)-1H-1,2,3-triazol-1-yl] acetic acid"
Zn,2-hydroxyisophthalic acid
Zn,2-mercaptonicotinic acid
Zn,2-methoxyterephthalic acid
Zn,2-methylsuccinic acid
Zn,"2-nitrobenzene-1,4-dicarboxylic acid"
Zn,2-pyrimidinecarbonitrile
Zn,"3,5-bis(1′,2′,4′-triazol-1′-yl)pyridine"
Zn,"3-(3,5-dicarboxylphenyl)-5-(pyrid-4-yl)-1-H-1,2,4-triazole"
Zn,3-aminopyrazine-2-carboxylic acid
Zn,"3-carboxy-1-(3,5-dicarboxybenzyl)pyridinium bromide"
Zn,3-cyanobenzoic acid (in situ precursor to 3-(1H-tetrazol-5-yl)benzoate)
Zn,"4,4',4''-benzene-1,3,5-triyl-tribenzoic acid"
Zn,"4,4',6,6'-tetracarboxy-2,2'-bipyridine"
Zn,"4,4'-(Hexafluoroisopropylidene) bis(benzoic acid)"
Zn,"4,4'-bis(1,2,4-triazol-1-ylmethyl)biphenyl"
Zn,"4,4’,4’’-(2,4,6-trimethylbenzene-1,3,5-triyl)tribenzoic acid"
Zn,"4,4′-bis(imidazolyl)diphenyl ether"
Zn,"4,4′-dithiodibenzoic acid"
Zn,"4,4′-trimethylenedipyridine"
Zn,"4,8-disulfonaphthalene-2,6-dicarboxylic acid"
Zn,"4-(3′,5′-dicarboxylphenoxy)phthalic acid"
Zn,4-(4-(pyridine-4-phenyl)amido)benzoic acid
Zn,4-(4-carboxyphenoxy)-isophthalic acid
Zn,"4-(4-carboxyphenylamino)-3,5-dinitrobenzoic acid"
Zn,"5,5,7,12,12,14-hexamethyl-1,4,8,11-tetraazacyclotetradecane"
Zn,"5,5′-(1,2-phenylenebis(methoxy))diisophthalic acid"
Zn,"5-(3,5-dicarboxybenzyloxy)-3-pyridine carboxylic acid"
Zn,"5-[(3,5-Dicarboxybenzyl)oxy]isophthalic acid"
Zn,"5-[2-{2,4,6-trioxotetrahydropyrimidin-5(2H)-ylidene}hydrazinyl]isophthalic acid"
Zn,5-sulfoisophthalic acid sodium salt
Zn,6-(4-carboxyphenyl)nicotinic acid
Zn,"9,10-bis(N-benzimidazolyl)-anthracene"
Zn,Co(H2DCPP)Cl
Zn,K(H2dF-BTC)
Zn,L-tyrosine
Zn,"N,N-di-(phenyl-2-hydroxy-4-carboxylate)-naphthalene-1,4,5,8-tetracarboxylic acid diimide"
Zn,"[1,1’:3’,1’’-terphenyl]-3,3’’,5,5’’-tetracarboxylic acid"
Zn,amino-terephthalic acid
Zn,"benzene-1,3,5-triphosphonic acid"
Zn,"benzene-2,5-dihydroxy-1,4-dicarboxylic acid"
Zn,biphenyldicarboxylic acid
Zn,bis(4-imidazolphenoxy)methane
Zn,disodium 2-hydroxyterephthalate monohydrate
Zn,disodium succinate
Zn,fluconazole
Zn,hexakis(4-carboxyphenoxy)cyclotriphosphazene
Zn,homoterephthalic acid
Zn,iminodiacetic acid
Zn,maleic acid
Zn,meso-tartaric acid hydrate
Zn,"naphthalene-2,3-dicarboxylic acid"
Zn,nitro terephthalic acid
Zn,o-xylenediphosphonic acid
Zn,p-xylenediphosphonic acid
Zn,polyethylene terephthalate (PET) waste
Zn,"pyrazole-3,5-dicarboxylic acid monohydrate"
Zn,"tetrahydrofuran-2,3,4,5-tetracarboxylic acid"
Zn,tetrathiafulvalene tetrabenzoic acid
Zn,"(1,1'-biphenyl)-2,4,6-tricarboxylic acid"
Zn,(E)-5-(2-carboxyvinyl)thiophene-3-carboxylic acid
Zn,"(R,R)-2,2′-((5-(methoxycarbonyl)-1,3-phenylene)bis(oxy))dipropanoic acid"
Zn,"(S,S)-2,2′-((5-(methoxycarbonyl)-1,3-phenylene)bis(oxy))dipropanoic acid"
Zn,"1,1-(1,4-butanediyl)bis-1H-benzimidazole"
Zn,"1,1’-biscarboxymethyl-4,4’-bipyridium"
Zn,"1,1′:4′,1″:4″,1‴-quaterphenyl-2,4,2‴,4‴-tetracarboxylic acid"
Zn,"1,2,3,4,5,6-hexakis[4,4″-dicarboxy-(1,1′:3′,1″-terphenyl)]benzene"
Zn,"1,2,4,5-tetrakis[(4-carboxy)phenoxymethyl]benzene"
Zn,"1,2-bis(1,2,4-triazol-1-yl)ethane"
Zn,"1,2-bis[4-amino-5-carboxylmethylthio-(1,2,4-triazol-3-yl)]ethane"
Zn,"1,2-ethylenediphosphonic acid"
Zn,"1,3,5-tricarboxybenzene"
Zn,"1,3,5-trimethylimidazole-2,4,6-triethylbenzene"
Zn,"1,3-bis(3,5-dicarboxyphenyl) imidazolium chloride"
Zn,"1,3-bis(3′-carboxypyridine)adamantane"
Zn,"1,3-bis(4-pyridyl-3-cyano)propane"
Zn,"1,3-bis(carboxymethyl)imidazolium chloride"
Zn,"1,3-di(2',4'-dicarboxylphenyl)benzene"
Zn,"1,3-di-(1,2,4-triazole-4-yl)benzene"
Zn,"1,4-bis(1-imidazolyl)-benzene"
Zn,"1,4-bis(1H-imidazol-4-yl)benzene"
Zn,"1,4-bis(3-pyridylaminomethyl)benzene"
Zn,"1,4-bis(4-(imidazole-1-yl)benzyl)piperazine"
Zn,"1,4-bis(imidazol-1’-yl)butane"
Zn,"1,4-bis-(1,2,4-triazol-1-ylmethyl)benzene"
Zn,"1,4-bis[(2-(4-(1H-imidazol-1-yl)-phenyl)-1H-imidazol-1-yl)-methyl]benzene"
Zn,"1,4-di(4H-1,2,4-triazol-4-yl)benzene"
Zn,"1,4-di-(1,2,4-triazole-4-yl)benzene"
Zn,"1,4-phenylenebis(methylidyne)tetrakis(phosphonic acid)"
Zn,"1,5-bi(imidazolyl)anthracene"
Zn,"1,5-bis(5-tetrazolo)-3-oxapentane"
Zn,"1,5-naphthalenedisulfonic acid tetrahydrate"
Zn,"1-(3,5-dicarboxyphenyl)-4-carboxy-1H-1,2,3-triazole"
