"1,4-bis[(3′,5′-dimethyl-1H-pyrazole-4′-yl)methylene]benzene",
"1,4-cubanedicarboxylic acid",192.17
"1,4-cyclohexanedicarboxylic acid",172.18
"1,4-di(1H-imidazol-1-yl)butane",190.25
"1,4-di(1H-tetrazole-5yl)benzene",
"1,4-dicarboxybenzene",166.13
"1,4-naphthalenedicarboxylic acid",216.19
"1,4-phenylenediacetic acid",194.18
"1,4-terephthalic acid",
"1,5-naphthalenedisulfonate",286.3
1-ethyl-3-methylimidazolium hydrogen terephthalate,
"1-H-pyrazole-3,5-dicarboxylic acid",
1-hydroxyethylidenediphosphonate,
1H-pyrazole-4-carboxylic acid,112.09
"2',5'-dimethyl-[1,1':4',1''-terphenyl]-4,4''-dicarboxylic acid",346.4
"2',5'-dimethylthio-[1,1’:4’,1’’-terphenyl]-4,4''-dicarboxylic acid",
"2'-amino-5'-(4-carboxyphenyl)-[1,1':3',1''-terphenyl]-4,4''-dicarboxylic acid",453.4
"2,1,3-benzothiadiazole-4,7-dicarboxylic acid",224.2
"2,2'-bipyridine-5,5'-dicarboxylic acid",244.2
"2,2’-bipyridine-5,5’-dicarboxylic acid",
"2,2’-bis(trifluoromethyl)-[1,1’-biphenyl]-4,4’-dicarboxylic acid",
"2,2′,6,6′-tetramethyl-biphenyl-4,4′-dicarboxylic acid",
"2,2′-(1H-imidazole-4,5-diyl)di-1,4,5,6-tetrahydropyrimidine",
"2,2′-(naphthalene-1,5-diylbis(oxy))diacetic acid",
"2,2′-biimidazole",
"2,2′-bipyridine-5,5′-dicarboxylic acid",
"2,2′-bipyrimidine",
"2,2′-diamino-4,4′-stilbenedicarboxylic acid",
"2,2′-dimethyl-biphenyl-4,4′-dicarboxylic acid",
"2,3,5,6-tetramethylterephthalic acid",222.24
"2,3,6,7,10,11-hexaaminotriphenylene hexahydrochloride",537.1
"2,3,6,7,10,11-hexahydrotriphenylene",234.3
"2,3,6,7,10,11-hexahydroxytriphenylene",324.3
"2,3,6,7,10,11-hexaiminotriphenylene hexahydrochloride",
"2,3,6,7,12,13,16,17,22,23,26,27-dodechydroxylhexabenzo[a,c,k,m,u,w]trinaphthylene",
"2,4,6-trimethyl-1,3,5-tri(3,5-di(4-carboxyphenyl-1-yl)phenyl-1-yl)benzene",
"2,4-bis(3,5-dicarboxyphenylamino)-6-ol triazine",
"2,5,8,11-tetrakis(4-carboxyphenyl)perylene",
"2,5-Bis(allyloxy)terephthalic acid",278.26
"2,5-bis(pyrazol-1-yl)terephthalic acid",
"2,5-di(3,5-dicarboxylphenyl)-nicotinic acid",
